epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,65.589,1.77749,1.6408,1.12199,0.00083,0.03704,4e-05,0,2.90851,4.23152,2.22123,0.001604,0.001604,0.001604
32,68.2364,1.59329,1.59303,1.11937,0.00083,0.03704,4e-05,0,2.90851,4.23152,2.22123,0.0015908,0.0015908,0.0015908
33,70.4757,1.76167,1.57083,1.08968,0.00083,0.03704,4e-05,0,2.90851,4.23152,2.22123,0.0015776,0.0015776,0.0015776
34,72.811,1.55729,1.59965,1.14798,0.0025,0.11111,0.00057,0.00013,3.04866,4.35042,2.26644,0.0015644,0.0015644,0.0015644
35,74.6853,1.51864,1.62388,1.11522,0.0025,0.11111,0.00057,0.00013,3.04866,4.35042,2.26644,0.0015512,0.0015512,0.0015512
36,77.1441,1.65468,1.47148,1.14271,0.0025,0.11111,0.00057,0.00013,3.04866,4.35042,2.26644,0.001538,0.001538,0.001538
37,79.3733,1.5478,1.48515,1.06864,0.0025,0.11111,0.00081,0.00015,2.35429,4.20557,2.0927,0.0015248,0.0015248,0.0015248
38,81.6672,1.45887,1.48761,1.10707,0.0025,0.11111,0.00081,0.00015,2.35429,4.20557,2.0927,0.0015116,0.0015116,0.0015116
39,83.7735,1.81565,1.62939,1.1261,0.0025,0.11111,0.00081,0.00015,2.35429,4.20557,2.0927,0.0014984,0.0014984,0.0014984
40,85.6915,1.67504,1.45033,1.10257,0.00083,0.03704,5e-05,1e-05,2.82798,4.19272,2.01266,0.0014852,0.0014852,0.0014852
41,87.5509,1.59775,1.37123,1.0779,0.00083,0.03704,5e-05,1e-05,2.82798,4.19272,2.01266,0.001472,0.001472,0.001472
42,89.5719,1.61657,1.73658,1.16807,0.00083,0.03704,5e-05,1e-05,2.82798,4.19272,2.01266,0.0014588,0.0014588,0.0014588
43,91.7669,1.4822,1.36145,1.10338,0.00083,0.03704,5e-05,2e-05,2.48429,3.97918,1.78153,0.0014456,0.0014456,0.0014456
44,93.6829,1.67763,1.41418,1.14819,0.00083,0.03704,5e-05,2e-05,2.48429,3.97918,1.78153,0.0014324,0.0014324,0.0014324
45,95.6788,1.53071,1.40864,1.14705,0.00083,0.03704,5e-05,2e-05,2.48429,3.97918,1.78153,0.0014192,0.0014192,0.0014192
46,97.9574,1.65892,1.54671,1.11239,0.00667,0.2963,0.00203,0.00051,2.3576,3.76287,1.54092,0.001406,0.001406,0.001406
47,100.005,1.53133,1.35141,1.06354,0.00667,0.2963,0.00203,0.00051,2.3576,3.76287,1.54092,0.0013928,0.0013928,0.0013928
48,102.015,1.49042,1.40693,1.0719,0.00667,0.2963,0.00203,0.00051,2.3576,3.76287,1.54092,0.0013796,0.0013796,0.0013796
49,103.918,1.42276,1.36637,1.0349,0.00667,0.2963,0.00199,0.00061,2.4441,3.69818,1.62328,0.0013664,0.0013664,0.0013664
50,105.96,1.40482,1.38587,1.09037,0.00667,0.2963,0.00199,0.00061,2.4441,3.69818,1.62328,0.0013532,0.0013532,0.0013532
51,107.856,1.3741,1.26185,0.99302,0.00667,0.2963,0.00199,0.00061,2.4441,3.69818,1.62328,0.00134,0.00134,0.00134
52,109.931,1.52852,1.22591,0.97168,0.00583,0.25926,0.00161,0.00062,2.36853,3.72197,1.53669,0.0013268,0.0013268,0.0013268
53,111.821,1.38323,1.15659,0.97132,0.00583,0.25926,0.00161,0.00062,2.36853,3.72197,1.53669,0.0013136,0.0013136,0.0013136
54,113.699,1.37701,1.25076,1.01129,0.00583,0.25926,0.00161,0.00062,2.36853,3.72197,1.53669,0.0013004,0.0013004,0.0013004
55,115.654,1.38191,1.14063,0.97851,0.00417,0.18519,0.00084,0.00022,2.69087,3.8421,1.70246,0.0012872,0.0012872,0.0012872
56,117.46,1.36263,1.39796,1.08937,0.00417,0.18519,0.00084,0.00022,2.69087,3.8421,1.70246,0.001274,0.001274,0.001274
57,119.278,1.4558,1.11511,0.98426,0.00417,0.18519,0.00084,0.00022,2.69087,3.8421,1.70246,0.0012608,0.0012608,0.0012608
58,121.296,1.38965,1.07086,0.98433,0.00583,0.25926,0.00151,0.00032,2.27256,3.63528,1.40889,0.0012476,0.0012476,0.0012476
59,123.178,1.40847,1.22516,1.02482,0.00583,0.25926,0.00151,0.00032,2.27256,3.63528,1.40889,0.0012344,0.0012344,0.0012344
60,124.986,1.59125,1.51683,1.04213,0.00583,0.25926,0.00151,0.00032,2.27256,3.63528,1.40889,0.0012212,0.0012212,0.0012212
61,126.797,1.49235,1.28478,1.04616,0.00667,0.2963,0.00217,0.0008,2.28554,3.54744,1.43846,0.001208,0.001208,0.001208
62,128.595,1.15514,1.19406,0.98205,0.00667,0.2963,0.00217,0.0008,2.28554,3.54744,1.43846,0.0011948,0.0011948,0.0011948
63,130.372,1.40055,1.27387,1.03949,0.00667,0.2963,0.00217,0.0008,2.28554,3.54744,1.43846,0.0011816,0.0011816,0.0011816
64,132.313,1.27106,1.23622,1.00521,0.0075,0.33333,0.00312,0.00104,2.21768,3.52761,1.33709,0.0011684,0.0011684,0.0011684
65,134.084,1.36977,1.23527,0.99187,0.0075,0.33333,0.00312,0.00104,2.21768,3.52761,1.33709,0.0011552,0.0011552,0.0011552
66,136.014,1.40219,1.23168,1.06356,0.0075,0.33333,0.00312,0.00104,2.21768,3.52761,1.33709,0.001142,0.001142,0.001142
67,137.845,1.1439,1.0588,0.92082,0.01,0.44444,0.01007,0.00322,2.23673,3.43552,1.4239,0.0011288,0.0011288,0.0011288
68,139.676,1.42677,1.3261,1.12389,0.01,0.44444,0.01007,0.00322,2.23673,3.43552,1.4239,0.0011156,0.0011156,0.0011156
69,141.439,1.33086,1.16145,1.00404,0.01,0.44444,0.01007,0.00322,2.23673,3.43552,1.4239,0.0011024,0.0011024,0.0011024
70,143.265,1.30427,1.13138,1.03009,0.01,0.44444,0.08979,0.03271,2.23398,3.37064,1.4713,0.0010892,0.0010892,0.0010892
71,145.068,1.51663,1.19678,0.97972,0.01,0.44444,0.08979,0.03271,2.23398,3.37064,1.4713,0.001076,0.001076,0.001076
72,146.869,1.39615,1.25693,1.02361,0.01,0.44444,0.08979,0.03271,2.23398,3.37064,1.4713,0.0010628,0.0010628,0.0010628
73,148.81,1.37301,1.27451,1.05028,0.01083,0.48148,0.1302,0.05395,2.23639,3.26222,1.44946,0.0010496,0.0010496,0.0010496
74,150.743,1.22188,1.3344,1.01647,0.01083,0.48148,0.1302,0.05395,2.23639,3.26222,1.44946,0.0010364,0.0010364,0.0010364
75,152.842,1.30138,1.08396,0.94332,0.01083,0.48148,0.1302,0.05395,2.23639,3.26222,1.44946,0.0010232,0.0010232,0.0010232
76,155.009,1.44873,1.30833,1.09852,1,0.06164,0.17354,0.08034,2.11044,3.1139,1.38005,0.00101,0.00101,0.00101
77,157.19,1.29526,1.07606,0.98567,1,0.06164,0.17354,0.08034,2.11044,3.1139,1.38005,0.0009968,0.0009968,0.0009968
78,159.38,1.36001,1.07882,0.9412,1,0.06164,0.17354,0.08034,2.11044,3.1139,1.38005,0.0009836,0.0009836,0.0009836
79,161.545,1.2153,1.10341,0.97884,1,0.06696,0.22504,0.10242,2.07223,3.01835,1.33032,0.0009704,0.0009704,0.0009704
80,163.508,1.09314,1.03002,0.90761,1,0.06696,0.22504,0.10242,2.07223,3.01835,1.33032,0.0009572,0.0009572,0.0009572
81,165.687,1.34275,1.17546,1.03041,1,0.06696,0.22504,0.10242,2.07223,3.01835,1.33032,0.000944,0.000944,0.000944
82,167.894,1.23617,1.13118,0.9653,1,0.07165,0.25337,0.11995,2.13288,3.02601,1.34073,0.0009308,0.0009308,0.0009308
83,170.411,1.27298,1.19054,1.01278,1,0.07165,0.25337,0.11995,2.13288,3.02601,1.34073,0.0009176,0.0009176,0.0009176
84,172.595,1.31078,1.16624,1.03499,1,0.07165,0.25337,0.11995,2.13288,3.02601,1.34073,0.0009044,0.0009044,0.0009044
85,174.583,1.30666,1.09529,0.97635,1,0.16113,0.32056,0.15033,2.09774,3.0174,1.28199,0.0008912,0.0008912,0.0008912
86,176.44,1.13002,1.15597,0.96163,1,0.16113,0.32056,0.15033,2.09774,3.0174,1.28199,0.000878,0.000878,0.000878
87,178.412,1.22853,1.27789,1.03618,1,0.16113,0.32056,0.15033,2.09774,3.0174,1.28199,0.0008648,0.0008648,0.0008648
88,180.395,1.19108,0.98886,0.95763,1,0.16081,0.32732,0.16281,2.04745,3.0216,1.3066,0.0008516,0.0008516,0.0008516
89,182.478,1.2821,1.12277,1.0362,1,0.16081,0.32732,0.16281,2.04745,3.0216,1.3066,0.0008384,0.0008384,0.0008384
90,184.534,1.26138,1.03385,1.02935,1,0.16081,0.32732,0.16281,2.04745,3.0216,1.3066,0.0008252,0.0008252,0.0008252
91,186.535,1.21179,1.03385,1.00276,1,0.16272,0.30896,0.14974,2.11674,2.98363,1.37283,0.000812,0.000812,0.000812
92,188.487,1.23635,1.04512,0.98915,1,0.16272,0.30896,0.14974,2.11674,2.98363,1.37283,0.0007988,0.0007988,0.0007988
93,190.461,1.26597,1.10468,1.02055,1,0.16272,0.30896,0.14974,2.11674,2.98363,1.37283,0.0007856,0.0007856,0.0007856
94,192.482,1.31624,1.10467,1.07098,1,0.17118,0.30818,0.13625,2.14599,2.95528,1.38504,0.0007724,0.0007724,0.0007724
95,194.446,1.14886,1.14892,1.02299,1,0.17118,0.30818,0.13625,2.14599,2.95528,1.38504,0.0007592,0.0007592,0.0007592
96,196.482,1.2929,1.07263,1.04008,1,0.17118,0.30818,0.13625,2.14599,2.95528,1.38504,0.000746,0.000746,0.000746
97,198.578,1.16325,1.1057,1.03185,1,0.2164,0.32543,0.15644,2.2074,2.91008,1.43544,0.0007328,0.0007328,0.0007328
98,200.512,1.07334,1.12363,0.97539,1,0.2164,0.32543,0.15644,2.2074,2.91008,1.43544,0.0007196,0.0007196,0.0007196
99,202.375,1.24165,1.03795,1.07737,1,0.2164,0.32543,0.15644,2.2074,2.91008,1.43544,0.0007064,0.0007064,0.0007064
100,204.287,1.01137,0.94401,0.99282,1,0.27734,0.34276,0.15999,2.11287,2.82934,1.40136,0.0006932,0.0006932,0.0006932
101,206.138,1.18525,1.06751,0.94958,1,0.27734,0.34276,0.15999,2.11287,2.82934,1.40136,0.00068,0.00068,0.00068
102,208.055,1.22795,1.2433,1.05526,1,0.27734,0.34276,0.15999,2.11287,2.82934,1.40136,0.0006668,0.0006668,0.0006668
103,209.923,1.15469,1.10528,0.95279,1,0.28583,0.39283,0.19067,2.00363,2.73292,1.32953,0.0006536,0.0006536,0.0006536
104,211.911,1.22859,0.99597,0.92879,1,0.28583,0.39283,0.19067,2.00363,2.73292,1.32953,0.0006404,0.0006404,0.0006404
105,213.728,1.03867,0.92714,0.92377,1,0.28583,0.39283,0.19067,2.00363,2.73292,1.32953,0.0006272,0.0006272,0.0006272
106,215.693,1.28702,1.04331,0.94883,1,0.29844,0.42192,0.22449,2.00874,2.65011,1.31245,0.000614,0.000614,0.000614
107,217.542,1.14172,0.99616,0.97506,1,0.29844,0.42192,0.22449,2.00874,2.65011,1.31245,0.0006008,0.0006008,0.0006008
108,219.451,1.00414,0.96038,0.97422,1,0.29844,0.42192,0.22449,2.00874,2.65011,1.31245,0.0005876,0.0005876,0.0005876
109,221.347,1.2063,0.97074,0.90964,1,0.30565,0.44717,0.23762,1.98328,2.58637,1.2866,0.0005744,0.0005744,0.0005744
110,223.269,1.13967,0.91738,0.90608,1,0.30565,0.44717,0.23762,1.98328,2.58637,1.2866,0.0005612,0.0005612,0.0005612
111,225.206,1.20495,0.98031,0.91749,1,0.30565,0.44717,0.23762,1.98328,2.58637,1.2866,0.000548,0.000548,0.000548
112,227.275,1.15039,0.98956,0.91551,1,0.31926,0.43331,0.23604,2.00769,2.53033,1.27552,0.0005348,0.0005348,0.0005348
113,229.185,1.19237,1.02754,0.98578,1,0.31926,0.43331,0.23604,2.00769,2.53033,1.27552,0.0005216,0.0005216,0.0005216
114,231.077,1.23449,0.96032,1.00058,1,0.31926,0.43331,0.23604,2.00769,2.53033,1.27552,0.0005084,0.0005084,0.0005084
115,232.945,1.04361,0.90444,0.92831,0.91592,0.2963,0.43207,0.21126,2.05629,2.48134,1.28429,0.0004952,0.0004952,0.0004952
116,234.798,1.14368,1.11313,1.03129,0.91592,0.2963,0.43207,0.21126,2.05629,2.48134,1.28429,0.000482,0.000482,0.000482
117,236.719,1.11773,0.99883,0.92311,0.91592,0.2963,0.43207,0.21126,2.05629,2.48134,1.28429,0.0004688,0.0004688,0.0004688
118,238.622,1.00059,0.97039,0.96621,0.87708,0.26481,0.44104,0.20591,2.07814,2.44129,1.34509,0.0004556,0.0004556,0.0004556
119,240.903,1.11513,0.96486,0.91715,0.87708,0.26481,0.44104,0.20591,2.07814,2.44129,1.34509,0.0004424,0.0004424,0.0004424
120,243.06,1.11073,0.87774,0.87092,0.87708,0.26481,0.44104,0.20591,2.07814,2.44129,1.34509,0.0004292,0.0004292,0.0004292
121,245.084,1.16716,0.96544,0.90546,0.83544,0.37037,0.48167,0.20832,2.04875,2.35241,1.3677,0.000416,0.000416,0.000416
122,247.108,1.29662,0.97569,0.95698,0.83544,0.37037,0.48167,0.20832,2.04875,2.35241,1.3677,0.0004028,0.0004028,0.0004028
123,249.471,1.09405,0.93223,0.93547,0.83544,0.37037,0.48167,0.20832,2.04875,2.35241,1.3677,0.0003896,0.0003896,0.0003896
124,251.926,1.01316,0.99723,0.91166,0.80469,0.37037,0.47684,0.21943,2.0286,2.27355,1.37421,0.0003764,0.0003764,0.0003764
125,253.916,0.87085,0.90034,0.87591,0.80469,0.37037,0.47684,0.21943,2.0286,2.27355,1.37421,0.0003632,0.0003632,0.0003632
126,256.241,1.18093,0.90074,0.93236,0.80469,0.37037,0.47684,0.21943,2.0286,2.27355,1.37421,0.00035,0.00035,0.00035
127,258.342,1.14284,0.8764,0.98668,0.75465,0.33333,0.47271,0.23395,1.997,2.22261,1.36329,0.0003368,0.0003368,0.0003368
128,260.411,1.02492,0.85973,0.91196,0.75465,0.33333,0.47271,0.23395,1.997,2.22261,1.36329,0.0003236,0.0003236,0.0003236
129,262.578,1.12384,0.95248,0.97315,0.75465,0.33333,0.47271,0.23395,1.997,2.22261,1.36329,0.0003104,0.0003104,0.0003104
130,264.732,1.07955,0.87266,0.96921,0.75667,0.34619,0.48225,0.24007,1.98239,2.16042,1.35375,0.0002972,0.0002972,0.0002972
131,267.116,1.07648,0.84987,0.86885,0.75667,0.34619,0.48225,0.24007,1.98239,2.16042,1.35375,0.000284,0.000284,0.000284
132,269.477,1.00963,0.97324,0.99598,0.75667,0.34619,0.48225,0.24007,1.98239,2.16042,1.35375,0.0002708,0.0002708,0.0002708
133,271.803,1.0624,0.89235,0.9568,0.78288,0.33333,0.45822,0.23424,1.95681,2.1193,1.35531,0.0002576,0.0002576,0.0002576
134,274.055,1.02571,0.89095,0.92685,0.78288,0.33333,0.45822,0.23424,1.95681,2.1193,1.35531,0.0002444,0.0002444,0.0002444
135,276.268,1.0691,0.8964,0.92078,0.78288,0.33333,0.45822,0.23424,1.95681,2.1193,1.35531,0.0002312,0.0002312,0.0002312
136,278.387,1.12958,0.97334,0.96884,0.75201,0.33333,0.45563,0.22909,1.9676,2.09311,1.36363,0.000218,0.000218,0.000218
137,280.615,1.01594,0.8635,0.95213,0.75201,0.33333,0.45563,0.22909,1.9676,2.09311,1.36363,0.0002048,0.0002048,0.0002048
138,282.799,0.96531,0.80994,0.87041,0.75201,0.33333,0.45563,0.22909,1.9676,2.09311,1.36363,0.0001916,0.0001916,0.0001916
139,284.927,0.95491,0.92099,0.9099,0.79637,0.33333,0.45472,0.2286,1.95933,2.08603,1.34244,0.0001784,0.0001784,0.0001784
140,287.332,1.04563,0.948,0.9826,0.79637,0.33333,0.45472,0.2286,1.95933,2.08603,1.34244,0.0001652,0.0001652,0.0001652
141,289.916,1.0788,0.96589,0.96947,0.79637,0.33333,0.45472,0.2286,1.95933,2.08603,1.34244,0.000152,0.000152,0.000152
142,291.987,1.09628,0.95853,0.90425,0.7965,0.33333,0.45326,0.23141,1.95826,2.05557,1.33841,0.0001388,0.0001388,0.0001388
143,294.103,1.01791,0.92677,0.89676,0.7965,0.33333,0.45326,0.23141,1.95826,2.05557,1.33841,0.0001256,0.0001256,0.0001256
144,296.107,1.10274,0.98429,0.9432,0.7965,0.33333,0.45326,0.23141,1.95826,2.05557,1.33841,0.0001124,0.0001124,0.0001124
145,298.014,1.08008,0.96597,0.89753,0.77362,0.33333,0.45451,0.233,1.95895,2.03374,1.3413,9.92e-05,9.92e-05,9.92e-05
146,299.912,1.12995,0.98142,0.95773,0.77362,0.33333,0.45451,0.233,1.95895,2.03374,1.3413,8.6e-05,8.6e-05,8.6e-05
147,301.91,1.09184,1.025,0.91293,0.77362,0.33333,0.45451,0.233,1.95895,2.03374,1.3413,7.28e-05,7.28e-05,7.28e-05
148,303.74,1.01145,0.93226,0.88506,0.64464,0.33333,0.44425,0.22971,1.95943,2.01829,1.34493,5.96e-05,5.96e-05,5.96e-05
149,305.597,0.98132,0.8934,0.84495,0.64464,0.33333,0.44425,0.22971,1.95943,2.01829,1.34493,4.64e-05,4.64e-05,4.64e-05
150,307.419,1.00056,0.94795,0.95811,0.64464,0.33333,0.44425,0.22971,1.95943,2.01829,1.34493,3.32e-05,3.32e-05,3.32e-05
