epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.74335,1.59966,3.45888,1.12965,0.005,0.22222,0.01012,0.00839,2.08131,3.71757,1.31019,0,0,0
2,5.04917,1.60291,3.34779,1.18103,0.005,0.22222,0.01012,0.00839,2.08131,3.71757,1.31019,0.000662267,0.000662267,0.000662267
3,7.34088,1.50839,3.36512,1.09489,0.005,0.22222,0.01012,0.00839,2.08131,3.71757,1.31019,0.00131573,0.00131573,0.00131573
4,9.46696,1.62345,3.24737,1.11559,0.005,0.22222,0.01036,0.00194,3.33996,3.9747,1.98003,0.0019604,0.0019604,0.0019604
5,11.5441,2.685,3.19583,1.8166,0.005,0.22222,0.01036,0.00194,3.33996,3.9747,1.98003,0.0019472,0.0019472,0.0019472
6,13.6417,2.75746,3.09429,1.64751,0.005,0.22222,0.01036,0.00194,3.33996,3.9747,1.98003,0.001934,0.001934,0.001934
7,15.7531,2.7663,3.06863,1.42179,0.00417,0.18519,0.04906,0.01733,2.79234,3.75384,1.79942,0.0019208,0.0019208,0.0019208
8,18.0002,2.33057,2.5978,1.50143,0.00417,0.18519,0.04906,0.01733,2.79234,3.75384,1.79942,0.0019076,0.0019076,0.0019076
9,20.2834,2.45225,2.63242,1.42,0.00417,0.18519,0.04906,0.01733,2.79234,3.75384,1.79942,0.0018944,0.0018944,0.0018944
10,22.4149,2.20959,2.85118,1.60308,0.00083,0.03704,0.0035,0.00175,2.66808,3.93469,1.76586,0.0018812,0.0018812,0.0018812
11,24.4435,2.4102,2.61553,1.53514,0.00083,0.03704,0.0035,0.00175,2.66808,3.93469,1.76586,0.001868,0.001868,0.001868
12,26.5378,2.24114,2.16371,1.4625,0.00083,0.03704,0.0035,0.00175,2.66808,3.93469,1.76586,0.0018548,0.0018548,0.0018548
13,28.7223,2.24179,2.40528,1.49452,0.0025,0.11111,0.00098,0.00029,2.66275,4.02243,1.84841,0.0018416,0.0018416,0.0018416
14,30.7578,2.01398,1.99616,1.25358,0.0025,0.11111,0.00098,0.00029,2.66275,4.02243,1.84841,0.0018284,0.0018284,0.0018284
15,32.7643,1.9752,2.10516,1.37966,0.0025,0.11111,0.00098,0.00029,2.66275,4.02243,1.84841,0.0018152,0.0018152,0.0018152
16,34.8839,2.07028,1.94421,1.34087,0.00083,0.03704,0.035,0.01051,2.88628,4.0634,2.41679,0.001802,0.001802,0.001802
17,36.9448,2.17057,2.37265,1.35225,0.00083,0.03704,0.035,0.01051,2.88628,4.0634,2.41679,0.0017888,0.0017888,0.0017888
18,38.9813,2.17265,2.43806,1.53995,0.00083,0.03704,0.035,0.01051,2.88628,4.0634,2.41679,0.0017756,0.0017756,0.0017756
19,41.0641,2.0085,1.9338,1.26024,0.0025,0.11111,0.00058,0.00029,2.80693,4.285,2.96753,0.0017624,0.0017624,0.0017624
20,42.9592,1.9122,1.97659,1.32574,0.0025,0.11111,0.00058,0.00029,2.80693,4.285,2.96753,0.0017492,0.0017492,0.0017492
21,44.9866,1.70498,2.33021,1.22164,0.0025,0.11111,0.00058,0.00029,2.80693,4.285,2.96753,0.001736,0.001736,0.001736
22,47.1181,1.86945,1.73786,1.20665,0.00083,0.03704,9e-05,3e-05,2.87241,4.32553,2.88567,0.0017228,0.0017228,0.0017228
23,49.1667,1.93919,2.11846,1.41726,0.00083,0.03704,9e-05,3e-05,2.87241,4.32553,2.88567,0.0017096,0.0017096,0.0017096
24,51.332,2.05072,1.86728,1.39004,0.00083,0.03704,9e-05,3e-05,2.87241,4.32553,2.88567,0.0016964,0.0016964,0.0016964
25,53.5901,1.94971,1.69678,1.22843,0.00083,0.03704,4e-05,1e-05,2.61057,5.05465,2.03508,0.0016832,0.0016832,0.0016832
26,55.6344,1.78185,1.67582,1.12277,0.00083,0.03704,4e-05,1e-05,2.61057,5.05465,2.03508,0.00167,0.00167,0.00167
27,57.5921,1.64677,1.5734,1.19618,0.00083,0.03704,4e-05,1e-05,2.61057,5.05465,2.03508,0.0016568,0.0016568,0.0016568
28,59.5276,1.70111,1.71109,1.12205,0.00083,0.03704,6e-05,4e-05,2.76514,5.09485,2.49719,0.0016436,0.0016436,0.0016436
29,61.4931,1.71602,1.50306,1.11875,0.00083,0.03704,6e-05,4e-05,2.76514,5.09485,2.49719,0.0016304,0.0016304,0.0016304
30,63.4665,1.6249,1.39543,1.04303,0.00083,0.03704,6e-05,4e-05,2.76514,5.09485,2.49719,0.0016172,0.0016172,0.0016172
